Nama,Tanggal Lahir,Hobi,Alamat,Nama Kota
John Smith,31 Dec 1990,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03 May 1985,"membaca, berenang","Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,30 Oct 1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS", DPS
John Smith,01 Feb 1987,"fotografi, hiking","Jl. Diponegoro No 5, Jimbran, Bali",Jimbaran
Lisa Brown,15 Mar 1992,"makan, berenang","Jalan Pantai Kuta No 10, Kuta, Bali",Badung
James Wilson,20 May 1980,"membaca, berenang","Jl. Diponegoro No 15, Denpasar, DPS",Singaraja
Sarah Davis,08 Dec 1994,fotografi,"Jl. Gatot Subroto No 30, Jimbaran, Bali",Jimbaran
Michael Lee,02 Oct 1990,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Tuban
Emily Davis,18 Sep 1982,"bersepeda, hiking","Jl. Raya Legian No 45, Kuta, Bali",Kuta
William Johnson,07 Mar 1991,"memancing, berenang","Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
Sophia Smith,30 Nov 1988,fotografi,"Jl. Pemuda No 17, Badung, Bali",Badung
Ethan Doe,01 May 1993,"bersepeda, hiking","Jl. Pura Batu Pageh No 22, Jimbran, Bali",Tabanan
Olivia Wilson,17 May 1997,"membaca, nonton film","Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Daniel Smith,14 Mar 1989,memancing,"Jl. Wana Segara No 6, Jimbaran, Bali",Jimbaran
Ava Davis,25 Aug 1992,bersepeda,"Jl. Imam Bonjol No 32, Kuta, Bali",Kuta
Logan Johnson,23 Feb 1985,"fotografi, hiking","Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Mia Wilson,07 Jan 1984,"makan, nonton film","Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbran
Benjamin Smith,11 Aug 1996,"memancing, berenang","Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Mia Wilson,07 Jan 1984,bersepeda,"Jl. Sunset Road No 10, Denpasar, DPS",Denpasar
Benjamin Smith,11 Aug 1996,bersepeda,"Jln. Sunset Road No 7, Jimbaran, Bali",Jimbaran
John Smith,12 Jan 1990,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03 May 1985,"membaca, berenang","Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,20 Oct 1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS",DPS
John Smith,01 Feb 1987,"fotografi, hiking","Jl. Diponegoro No 5, Jimbran, Bali",Jimbran
Lisa Brown,15 Mar 1992,"makan, berenang","Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
James Wilson,20 May 1980,"membaca, berenang","Jl. Diponegoro No 15, Denpasar, DPS",Kuta
Sarah Davis,08 Dec 1994,fotografi,"Jl. Gatot Subroto No 30, Jimbaran, Bali",Jimbaran
Michael Lee,02 Oct 1990,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
Emily Davis,18 Sep 1982,"bersepeda, hiking","Jl. Raya Legian No 45, Kuta, Bali",Kuta
William Johnson,07 Mar 1991,"memancing, berenang","Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
Sophia Smith,30 Nov 1988,fotografi,"Jl. Pemuda No 17, Badung, Bali",Badung
Ethan Doe,01 May 1993,"bersepeda, hiking","Jl. Pura Batu Pageh No 22, Jimbran, Bali",Jimbran
Olivia Wilson,17 May 1997,"membaca, nonton film","Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Daniel Smith,14 Mar 1989,memancing,"Jl. Wana Segara No 6, Jimbaran, Bali",Jimbaran
Ava Davis,25 Aug 1992,bersepeda,"Jl. Imam Bonjol No 32, Kuta, Bali",Kuta
Logan Johnson,23 Feb 1985,"fotografi, hiking","Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Mia Wilson,07 Jan 1984,"makan, nonton film","Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbran
Benjamin Smith,11 Aug 1996,"memancing, berenang","Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Mia Wilson,07 Jan 1984,bersepeda,"Jl. Sunset Road No 10, Denpasar, DPS",Denpasar
Benjamin Smith,11 Aug 1996,bersepeda,"Jln. Sunset Road No 7, Jimbaran, Bali",Jimbaran
John Smith,12 Jan 1990,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03 May 1985,"membaca, berenang","Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,20 Oct 1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS",DPS
John Smith,01 Feb 1987,"fotografi, hiking","Jl. Diponegoro No 5, Jimbran, Bali",Jimbran
Lisa Brown,15 Mar 1992,"makan, berenang","Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
James Wilson,20 May 1980,"membaca, berenang","Jl. Diponegoro No 15, Denpasar, DPS",Kuta
Sarah Davis,08 Dec 1994,fotografi,"Jl. Gatot Subroto No 30, Jimbaran, Bali",Jimbaran
Michael Lee,02 Oct 1990,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
Emily Davis,18 Sep 1982,"bersepeda, hiking","Jl. Raya Legian No 45, Kuta, Bali",Kuta
William Johnson,07 Mar 1991,"memancing, berenang","Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
Sophia Smith,30 Nov 1988,fotografi,"Jl. Pemuda No 17, Badung, Bali",Badung
Ethan Doe,01 May 1993,"bersepeda, hiking","Jl. Pura Batu Pageh No 22, Jimbran, Bali",Jimbran
Olivia Wilson,17 May 1997,"membaca, nonton film","Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Daniel Smith,14 Mar 1989,memancing,"Jl. Wana Segara No 6, Jimbaran, Bali",Jimbaran
Ava Davis,25 Aug 1992,bersepeda,"Jl. Imam Bonjol No 32, Kuta, Bali",Kuta
Logan Johnson,23 Feb 1985,"fotografi, hiking","Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Mia Wilson,07 Jan 1984,"makan, nonton film","Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbran
Benjamin Smith,11 Aug 1996,"memancing, berenang","Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Mia Wilson,07 Jan 1984,bersepeda,"Jl. Sunset Road No 10, Denpasar, DPS",Denpasar
Benjamin Smith,11 Aug 1996,bersepeda,"Jln. Sunset Road No 7, Jimbaran, Bali",Jimbaran
John Smith,12 Jan 1990,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03 May 1985,"membaca, berenang","Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,20 Oct 1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS",DPS
John Smith,01 Feb 1987,"fotografi, hiking","Jl. Diponegoro No 5, Jimbran, Bali",Jimbran
Lisa Brown,15 Mar 1992,"makan, berenang","Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
James Wilson,20 May 1980,"membaca, berenang","Jl. Diponegoro No 15, Denpasar, DPS",Kuta
Sarah Davis,08 Dec 1994,fotografi,"Jl. Gatot Subroto No 30, Jimbaran, Bali",Jimbaran
Michael Lee,02 Oct 1990,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
Emily Davis,18 Sep 1982,"bersepeda, hiking","Jl. Raya Legian No 45, Kuta, Bali",Kuta
William Johnson,07 Mar 1991,"memancing, berenang","Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
Sophia Smith,30 Nov 1988,fotografi,"Jl. Pemuda No 17, Badung, Bali",Badung
Ethan Doe,01 May 1993,"bersepeda, hiking","Jl. Pura Batu Pageh No 22, Jimbran, Bali",Jimbran
Olivia Wilson,17 May 1997,"membaca, nonton film","Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Daniel Smith,14 Mar 1989,memancing,"Jl. Wana Segara No 6, Jimbaran, Bali",Jimbaran
Ava Davis,25 Aug 1992,bersepeda,"Jl. Imam Bonjol No 32, Kuta, Bali",Kuta
Logan Johnson,23 Feb 1985,"fotografi, hiking","Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Mia Wilson,07 Jan 1984,"makan, nonton film","Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbran
Benjamin Smith,11 Aug 1996,"memancing, berenang","Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Mia Wilson,07 Jan 1984,bersepeda,"Jl. Sunset Road No 10, Denpasar, DPS",Denpasar
Benjamin Smith,11 Aug 1996,bersepeda,"Jln. Sunset Road No 7, Jimbaran, Bali",Jimbaran
