Nama,Tanggal Lahir,Hobi,Alamat,Nama Kota
John Smith,1990-12-31,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Tuban
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
John Smith,1990-01-12,"Bulu tangkis, voli, nonton film","Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Michael Lee,1990-10-02,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbran
