Nama,Tanggal Lahir,Hobi,Alamat,Nama Kota
John Smith,12/01/1990,Bulu tangkis,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
John Smith,12/01/1990,voli,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
John Smith,12/01/1990,nonton film,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03/05/1985,membaca,"Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Johny Doe,03/05/1985,berenang,"Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,20/10/1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS",Denpasar
John Smith,2/01/1987,fotografi,"Jl. Diponegoro No 5, Jimbran, Bali",Jimbaran
John Smith,2/01/1987,hiking,"Jl. Diponegoro No 5, Jimbran, Bali",Jimbaran
Lisa Brown,15/03/1992,makan,"Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
Lisa Brown,15/03/1992,berenang,"Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
James Wilson,20/05/1980,membaca,"Jl. Diponegoro No 15, Denpasar, DPS",Kuta
James Wilson,20/05/1980,berenang,"Jl. Diponegoro No 15, Denpasar, DPS",Kuta
Sarah Davis,08/12/1994,fotografi,"Jl. Gatot Subroto No 30, Jimbaran, Bali",Jimbaran
Michael Lee,10/02/1990,nonton film,"Jl. Sudirman No 8, Jimbran, Bali",Jimbaran
Emily Davis,18/09/1982,bersepeda,"Jl. Raya Legian No 45, Kuta, Bali",Kuta
Emily Davis,18/09/1982,hiking,"Jl. Raya Legian No 45, Kuta, Bali",Kuta
William Johnson,07/03/1991,memancing,"Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
William Johnson,07/03/1991,berenang,"Jl. Hayam Wuruk No 3, Denpasar, DPS",Denpasar
Sophia Smith,30/11/1988,fotografi,"Jl. Pemuda No 17, Badung, Bali",Badung
Ethan Doe,05/01/1993,bersepeda,"Jl. Pura Batu Pageh No 22, Jimbran, Bali",Jimbaran
Ethan Doe,05/01/1993,hiking,"Jl. Pura Batu Pageh No 22, Jimbran, Bali",Jimbaran
Olivia Wilson,17/05/1997,membaca,"Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Olivia Wilson,17/05/1997,nonton film,"Jl. Teuku Umar No 11, Denpasar, DPS",Denpasar
Daniel Smith,14/03/1989,memancing,"Jl. Wana Segara No 6, Jimbaran, Bali",Jimbaran
Ava Davis,25/08/1992,bersepeda,"Jl. Imam Bonjol No 32, Kuta, Bali",Kuta
Logan Johnson,23/02/1985,fotografi,"Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Logan Johnson,23/02/1985,hiking,"Jl. Bypass Ngurah Rai No 18, Denpasar, DPS",Denpasar
Mia Wilson,07/01/1984,makan,"Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbaran
Mia Wilson,07/01/1984,nonton film,"Jl. By Pass Ngurah Rai No 1, Jimbran, Bali",Jimbaran
Benjamin Smith,11/08/1996,memancing,"Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Benjamin Smith,11/08/1996,berenang,"Jl. Patih Jelantik No 23, Kuta, Bali",Kuta
Mia Wilson,07/01/1984,bersepeda,"Jl. Sunset Road No 10, Denpasar, DPS",Denpasar
Benjamin Smith,11/08/1996,bersepeda,"Jln. Sunset Road No 7, Jimbaran, Bali",Jimbaran
John Smith,12/01/1990,Bulu tangkis,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
John Smith,12/01/1990,voli,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
John Smith,12/01/1990,nonton film,"Jl Kampus kembar Udayana No 112, Jimbaran Bali",Jimbaran
Johny Doe,03/05/1985,membaca,"Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Johny Doe,03/05/1985,berenang,"Kuta Selatan, Badung, Bali, Indonesia",Denpasar
Mary Johnson,20/10/1995,berenang,"Jl. Gunung Agung No 25, Denpasar, DPS",Denpasar
John Smith,2/01/1987,fotografi,"Jl. Diponegoro No 5, Jimbran, Bali",Jimbaran
John Smith,2/01/1987,hiking,"Jl. Diponegoro No 5, Jimbran, Bali",Jimbaran
Lisa Brown,15/03/1992,makan,"Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
Lisa Brown,15/03/1992,berenang,"Jalan Pantai Kuta No 10, Kuta, Bali",Kuta
